11.956696	19.487433	Speaker Unknown
19.487433	20.081965	Yaounde Olu
22.129797	28.47147	Speaker Unknown
28.47147	32.10472	Yaounde Olu
33.095606	37.719743	Speaker Unknown
37.719743	43.334766	Yaounde Olu
43.665061	44.589889	Speaker Unknown
44.589889	46.241366	Yaounde Olu
46.637721	48.69381	Speaker Unknown
50.048022	52.112368	Yaounde Olu
52.971136	57.281492	Speaker Unknown
58.338438	63.391959	Yaounde Olu
66.348103	67.99958	Speaker Unknown
69.469395	80.327859	Yaounde Olu
81.607754	82.507809	Speaker Unknown
82.895906	84.357464	Yaounde Olu
87.008085	110.888448	Yaounde Olu
113.225288	122.902945	Speaker Unknown
123.563536	185.460908	Yaounde Olu
186.187558	187.839035	Yaounde Olu
188.697804	198.738786	Speaker Unknown
199.432406	204.122602	Yaounde Olu
204.122602	206.071345	Speaker Unknown
206.071345	225.45969	Yaounde Olu
225.988162	234.047372	Speaker Unknown
235.797938	286.465264	Yaounde Olu
286.828589	289.206716	Speaker Unknown
289.206716	305.424224	Yaounde Olu
305.853608	307.14176	Yaounde Olu
308.793237	312.723754	Speaker Unknown
312.723754	314.144024	Yaounde Olu
314.771586	316.489122	Speaker Unknown
317.34789	320.386609	Yaounde Olu
320.386609	321.575672	Speaker Unknown
321.575672	327.190695	Yaounde Olu
327.190695	329.502764	Speaker Unknown
332.772689	412.20875	Yaounde Olu
412.9354	421.853378	Speaker Unknown
421.853378	424.099387	Yaounde Olu
425.552687	433.083424	Speaker Unknown
434.933079	480.117499	Yaounde Olu
481.488225	483.519543	Yaounde Olu
483.816808	499.73705	Speaker Unknown
502.313355	526.424924	Yaounde Olu
526.689161	528.20852	Speaker Unknown
528.20852	528.93517	Yaounde Olu
529.265466	530.520588	Speaker Unknown
530.520588	538.645857	Yaounde Olu
538.645857	543.600289	Speaker Unknown
543.930585	579.536436	Yaounde Olu
579.536436	588.520473	Speaker Unknown
588.982887	632.053417	Yaounde Olu
